Name,Fuente,wOBA 2024,wOBA 2025,xwOBA 2025,EV,Barrel%,Diff,Streak,Comparativo,wOBA 2026,xwOBA 2026
Kameron Misner,Waiver,0.059,0.272,0.247,87.6,5.3,0.213,🔥 HOT,2024 vs 2025,,
Sam Haggerty,Waiver,0.098,0.307,0.304,88.3,2.4,0.209,🔥 HOT,2024 vs 2025,,
Isaac Collins,Waiver,0.165,0.344,0.322,88.8,4.9,0.179,🔥 HOT,2024 vs 2025,,
Bryce Teodosio,Waiver,0.073,0.243,0.222,84.3,4.3,0.17,🔥 HOT,2024 vs 2025,,
Coby Mayo,Waiver,0.152,0.303,0.289,87.3,10.1,0.151,🔥 HOT,2024 vs 2025,,
Nacho Alvarez Jr.,Waiver,0.128,0.279,0.27,84.9,1.4,0.151,🔥 HOT,2024 vs 2025,,
Ryan McMahon,Waiver,,0.306,,95.8,0.0,0.145,🔥 HOT,2025 vs 2026,0.451,0.215
José Fermín,Waiver,0.207,0.352,0.332,87.1,0.0,0.145,🔥 HOT,2024 vs 2025,,
Matt Mervis,Waiver,0.137,0.274,0.223,88.3,8.5,0.137,🔥 HOT,2024 vs 2025,,
Tristan Gray,Waiver,0.164,0.298,0.349,91.4,13.1,0.134,🔥 HOT,2024 vs 2025,,
Alex Jackson,Waiver,0.2,0.327,0.27,88.3,14.8,0.127,🔥 HOT,2024 vs 2025,,
Joey Wiemer,Waiver,0.175,0.297,0.305,91.4,14.7,0.122,🔥 HOT,2024 vs 2025,,
Graham Pauley,Waiver,0.183,0.3,0.299,86.6,5.5,0.117,🔥 HOT,2024 vs 2025,,
Bryce Johnson,Waiver,0.243,0.359,0.328,88.4,5.0,0.116,🔥 HOT,2024 vs 2025,,
Joey Loperfido,Waiver,0.268,0.381,0.316,87.3,5.7,0.113,🔥 HOT,2024 vs 2025,,
Tyler Heineman,Waiver,0.229,0.341,0.273,84.4,3.2,0.112,🔥 HOT,2024 vs 2025,,
Dillon Dingler,Waiver,0.217,0.326,0.351,90.0,9.2,0.109,🔥 HOT,2024 vs 2025,,
Jahmai Jones,Waiver,0.302,0.399,0.399,91.5,13.4,0.097,🔥 HOT,2024 vs 2025,,
Bo Bichette,Mi Roster,0.264,0.361,0.353,91.0,7.9,0.097,🔥 HOT,2024 vs 2025,,
Andrew Knizner,Waiver,0.174,0.27,0.278,84.2,1.4,0.096,🔥 HOT,2024 vs 2025,,
Jordan Beck,Waiver,0.231,0.319,0.301,87.4,9.6,0.088,🔥 HOT,2024 vs 2025,,
Luis Vázquez,Waiver,0.114,0.201,0.279,89.6,11.1,0.087,🔥 HOT,2024 vs 2025,,
Miguel Vargas,Waiver,0.233,0.314,0.319,89.7,9.3,0.081,🔥 HOT,2024 vs 2025,,
Jonny DeLuca,Waiver,0.269,0.35,0.267,85.6,2.3,0.081,🔥 HOT,2024 vs 2025,,
Dominic Canzone,Waiver,0.28,0.361,0.376,92.3,14.4,0.081,🔥 HOT,2024 vs 2025,,
Jhonny Pereda,Waiver,0.216,0.295,0.254,89.1,4.1,0.079,🔥 HOT,2024 vs 2025,,
Mickey Gasper,Waiver,0.151,0.229,0.236,87.8,1.3,0.078,🔥 HOT,2024 vs 2025,,
Kyren Paris,Waiver,0.207,0.283,0.265,88.9,16.4,0.076,🔥 HOT,2024 vs 2025,,
Luke Maile,Waiver,0.241,0.316,0.342,90.8,6.5,0.075,🔥 HOT,2024 vs 2025,,
Davis Schneider,Waiver,0.277,0.351,0.323,90.8,14.0,0.074,🔥 HOT,2024 vs 2025,,
Drew Millas,Waiver,0.28,0.35,0.305,84.8,2.3,0.07,🔥 HOT,2024 vs 2025,,
Martín Maldonado,Waiver,0.181,0.251,0.251,86.0,9.4,0.07,🔥 HOT,2024 vs 2025,,
