Name,Oponente,PA_hist,AVG_hist,K%_hist,xwOBA_hist,EV_hist,Fav_Score,Clasificacion
Josh Simpson,Arizona Diamondbacks,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Athletics,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Atlanta Braves,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Baltimore Orioles,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Boston Red Sox,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Chicago Cubs,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Chicago White Sox,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Cincinnati Reds,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Cleveland Guardians,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Colorado Rockies,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Detroit Tigers,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Houston Astros,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Kansas City Royals,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Los Angeles Angels,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Los Angeles Dodgers,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Miami Marlins,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Milwaukee Brewers,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Minnesota Twins,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,New York Mets,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,New York Yankees,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Philadelphia Phillies,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,Pittsburgh Pirates,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,San Diego Padres,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
Josh Simpson,San Francisco Giants,151,0.225,23.8,0.333,82.9,3,🟢 Favorable
