year,team_id,team_name,pa,ab,h,hr,bb,so,avg,obp,slg,woba,barrel_rate,hard_hit,exit_velocity,xba,xslg,xwoba,offense_score,offense_score_norm,dificultad
2022,118,Kansas City Royals,6010.0,5437.0,1327.0,138.0,460.0,1287.0,0.244,0.306,0.38,0.302,7.2,37.8,88.8,0.243,0.407,0.313,116.74,27.2,🟢 Fácil
2022,158,Milwaukee Brewers,6122.0,5417.0,1271.0,219.0,577.0,1464.0,0.235,0.315,0.409,0.317,8.7,39.8,89.0,0.234,0.409,0.318,129.96,68.3,🔴 Difícil
2022,142,Minnesota Twins,6113.0,5476.0,1356.0,178.0,518.0,1353.0,0.248,0.317,0.401,0.315,8.8,41.1,89.6,0.245,0.434,0.327,127.09,59.4,🟡 Normal
2022,141,Toronto Blue Jays,6158.0,5555.0,1464.0,200.0,500.0,1242.0,0.264,0.329,0.431,0.331,8.5,44.3,90.2,0.255,0.432,0.329,131.65,73.6,🔴 Difícil
2022,138,St. Louis Cardinals,6165.0,5496.0,1386.0,197.0,537.0,1226.0,0.252,0.325,0.42,0.326,7.5,37.4,88.2,0.244,0.412,0.321,124.4,51.0,🟡 Normal
2022,117,Houston Astros,6054.0,5409.0,1341.0,214.0,528.0,1179.0,0.248,0.319,0.424,0.324,8.1,39.1,88.7,0.248,0.428,0.328,128.4,63.5,🟡 Normal
2022,146,Miami Marlins,5949.0,5395.0,1241.0,144.0,436.0,1429.0,0.23,0.294,0.363,0.29,7.1,37.2,88.2,0.234,0.387,0.302,115.55,23.5,🟢 Fácil
2022,109,Arizona Diamondbacks,6027.0,5351.0,1232.0,173.0,531.0,1341.0,0.23,0.304,0.385,0.303,6.6,35.7,88.1,0.227,0.375,0.3,117.42,29.3,🟢 Fácil
2022,147,New York Yankees,6172.0,5422.0,1308.0,254.0,620.0,1391.0,0.241,0.325,0.426,0.327,10.1,41.9,89.7,0.242,0.441,0.333,138.63,95.3,🔴 Difícil
2022,115,Colorado Rockies,6105.0,5540.0,1408.0,149.0,453.0,1330.0,0.254,0.315,0.398,0.312,5.9,36.8,87.6,0.243,0.379,0.303,114.6,20.5,🟢 Fácil
2022,133,Athletics,5863.0,5314.0,1147.0,137.0,433.0,1389.0,0.216,0.281,0.346,0.277,6.4,34.2,87.7,0.223,0.363,0.288,110.6,8.0,🟢 Fácil
2022,112,Chicago Cubs,6072.0,5425.0,1293.0,159.0,507.0,1448.0,0.238,0.311,0.387,0.307,6.7,37.4,88.4,0.231,0.38,0.304,117.58,29.8,🟢 Fácil
2022,134,Pittsburgh Pirates,5911.0,5331.0,1186.0,158.0,476.0,1497.0,0.222,0.291,0.364,0.289,6.6,37.3,88.3,0.224,0.366,0.292,115.77,24.1,🟢 Fácil
2022,120,Washington Nationals,5998.0,5434.0,1351.0,136.0,442.0,1221.0,0.249,0.31,0.377,0.303,5.9,35.4,87.5,0.243,0.385,0.305,112.01,12.4,🟢 Fácil
2022,137,San Francisco Giants,6117.0,5392.0,1260.0,183.0,571.0,1462.0,0.234,0.315,0.389,0.31,8.2,37.7,88.2,0.227,0.394,0.311,123.36,47.8,🟡 Normal
2022,119,Los Angeles Dodgers,6247.0,5526.0,1418.0,212.0,607.0,1374.0,0.257,0.333,0.442,0.337,9.2,41.9,89.5,0.244,0.44,0.333,133.15,78.3,🔴 Difícil
2022,114,Cleveland Guardians,6163.0,5558.0,1410.0,127.0,450.0,1122.0,0.254,0.316,0.383,0.306,4.9,33.1,87.2,0.245,0.374,0.302,108.02,0.0,🟢 Fácil
2022,116,Detroit Tigers,5870.0,5378.0,1240.0,110.0,380.0,1413.0,0.231,0.286,0.346,0.279,6.3,36.4,87.6,0.232,0.37,0.291,108.97,3.0,🟢 Fácil
2022,140,Texas Rangers,6029.0,5478.0,1308.0,198.0,456.0,1446.0,0.239,0.301,0.395,0.305,7.9,39.3,89.1,0.234,0.403,0.307,125.06,53.1,🟡 Normal
2022,139,Tampa Bay Rays,6008.0,5412.0,1294.0,139.0,500.0,1395.0,0.239,0.308,0.377,0.302,6.1,38.7,88.9,0.234,0.372,0.3,114.89,21.4,🟢 Fácil
2022,145,Chicago White Sox,6123.0,5611.0,1435.0,149.0,388.0,1269.0,0.256,0.31,0.387,0.306,7.5,40.8,89.2,0.247,0.408,0.312,120.39,38.5,🟡 Normal
2022,108,Los Angeles Angels,5977.0,5423.0,1265.0,190.0,449.0,1539.0,0.233,0.297,0.39,0.3,8.5,35.8,88.3,0.23,0.4,0.303,122.95,46.5,🟡 Normal
2022,111,Boston Red Sox,6144.0,5539.0,1427.0,155.0,478.0,1373.0,0.258,0.321,0.409,0.319,8.1,40.9,89.3,0.248,0.415,0.319,123.26,47.5,🟡 Normal
2022,144,Atlanta Braves,6082.0,5509.0,1394.0,243.0,470.0,1498.0,0.253,0.317,0.443,0.33,10.9,43.5,89.9,0.246,0.459,0.333,140.13,100.0,🔴 Difícil
2022,136,Seattle Mariners,6117.0,5375.0,1236.0,197.0,596.0,1397.0,0.23,0.315,0.39,0.31,8.1,36.7,88.2,0.235,0.405,0.319,124.23,50.5,🟡 Normal
2022,121,New York Mets,6176.0,5489.0,1422.0,171.0,510.0,1217.0,0.259,0.332,0.412,0.326,7.1,37.1,88.2,0.249,0.415,0.324,120.97,40.3,🟡 Normal
2022,135,San Diego Padres,6175.0,5468.0,1317.0,153.0,574.0,1327.0,0.241,0.318,0.382,0.308,6.5,37.7,88.4,0.236,0.386,0.309,116.95,27.8,🟢 Fácil
